Name;File_type;Data_owner;Email_adress;Language;Primary_source;Download_link;CRS;File size;
Alkmaar;CSV;Gemeente Alkmaar (Gemeente);Oweijer@alkmaar.nl;Dutch;https://data.overheid.nl/dataset/bomen-alkmaar#panel-description;http://datalab.alkmaar.nl/geoserver/Alkmaar/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=Alkmaar%3ABomen&outputFormat=csv;EPSG28992;14.39MB;
Amersfoort;CSV;Gemeente Amersfoort (Gemeente);info@amersfoort.nl;Dutch;https://ckan.dataplatform.nl/dataset/amersfoort-gemeentelijke_bomen;https://ckan.dataplatform.nl/dataset/a6054acf-3e41-4142-9b1a-52d73ff022f3/resource/7794f7e2-8bb9-45ba-9a9f-df910b09c40f/download/amersfoort-gemeentelijke_bomen.csv;WGS84;14.9MB;
Sliedrecht;JSON;Sliedrecht (Gemeente);None;Dutch;https://ckan.dataplatform.nl/dataset/bomen-sliedrecht/resource/b2e92a02-cb00-40ba-82c7-92a6a0a78b7b;https://ckan.dataplatform.nl/dataset/2b585014-2f2a-4ff8-89ab-c1513168702c/resource/b2e92a02-cb00-40ba-82c7-92a6a0a78b7b/download/sliedrechtbomen20170412.json;EPSG28992;2.2MB;
Nijmegen;CSV;Nijmegen (Gemeente);opendata@nijmegen.nl;Dutch;https://opendata.nijmegen.nl/dataset/bomen;https://services.nijmegen.nl/geoservices/extern_BOR_Groen/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=extern_BOR_Groen%3AGRN_BOMEN&outputFormat=csv;EPSG28992;20MB;
Haarlem;JSON;Haarlem (Gemeente);opendata@haarlem.nl;Dutch;https://data.overheid.nl/dataset/bomenkaart-haarlem#panel-description;https://data.haarlem.nl/geoserver/wfs?SERVICE=WFS&REQUEST=GetFeature&TYPENAME=gemeentehaarlem%3Abor_bomen&SRSNAME=EPSG%3A28992&OUTPUTFORMAT=application%2Fjson;EPSG28992;22.3MB;
Amsterdam;JSON;Amsterdam (Gemeente);data-helpdesk@amsterdam.nl;Dutch;https://api.data.amsterdam.nl/v1/bomen/v1/stamgegevens;https://api.data.amsterdam.nl/v1/bomen/v1/stamgegevens?_format=geojson;WGS84;224.9MB;
Hilversum;JSON;Hilversum (Gemeente);None;Dutch;https://open-hilversum.hub.arcgis.com/datasets/Hilversum::bomen/about;https://services-eu1.arcgis.com/YcscSJ1XstO6iVhP/arcgis/rest/services/Bomen_8b628/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson;WGS84;23.5MB;
Groningen;JSON;Groningen (Gemeente);opendata@groningen.nl;Dutch;https://data.groningen.nl/dataset/bomen-gemeente-groningen;https://maps.groningen.nl/geoserver/geo-data/ows?service=WFS&version=1.0.0&request=GetFeature&typeName=geo-data:Bomen%20gemeente%20Groningen&maxFeatures=1000000&outputFormat=application/json&srsName=EPSG:4326&format_options=id_policy:reference_no=false;WGS84;29.3MB;
Oss;JSON;Oss (Gemeente);bomen@oss.nl;Dutch;https://data.overheid.nl/dataset/oss-bomenkaart#panel-description;LOCAL: https://geoportaaloss.oss.nl/portal/apps/experiencebuilder/experience/?id=b006792777034cfeabb1d0dfc8c7062c;WGS84;30.1MB;
Delft;JSON;Delft (Gemeente);None;Dutch;https://data.delft.nl/datasets/bomen-in-beheer-door-gemeente-delft-1/about;https://hub.arcgis.com/api/v3/datasets/d83a50486b384bfe8038c2d762f5e628_0/downloads/data?format=geojson&spatialRefId=4326&where=1=1;WGS84;31.2MB;
Utrecht;JSON;Utrecht (Gemeente);data@utrecht.nl;Dutch;https://data.overheid.nl/dataset/utrecht-bomenkaart-update-2024#panel-resources;https://arcgis.com/sharing/rest/content/items/7e2404cf7fba4bb087935f9cdb51f053/data;EPSG28992;32.2MB;
Breda;JSON;Breda (Gemeente);opendata@breda.nl;Dutch;https://data.overheid.nl/dataset/bomen-breda#panel-description;LOCAL: https://data.breda.nl/datasets/bomen/explore;EPSG28992;37.6MB;
Assen;CSV;Assen (Gemeente);info@assen.nl;Dutch;https://data.overheid.nl/dataset/dataset-bomen-assen#panel-description;https://opendata.arcgis.com/datasets/4edbe00daef847aeb3116017e9a6db84_0.csv;EPSG28992;39.5MB;
Den Haag;SHP;s-Gravenhage (Gemeente);support@civity.nl;Dutch;https://data.overheid.nl/dataset/313fa20b-7608-447d-8882-3ae2b989bc5d;https://ckan.dataplatform.nl/dataset/2487aed5-961b-4add-ab88-2400fa6901f6/resource/038fc5b4-c086-4de1-99a1-9284685e0e6d/download/bomen-shape.zip;WGS84;516MB;
Velsen;JSON;Velsen (Gemeente);informatiestatistiek@velsen.nl;Dutch;https://data.overheid.nl/dataset/bomen-gemeente-velsen#panel-description;LOCAL: https://github.com/IenS-Velsen/Bomen/blob/main/Bomen.geojson;WGS84;9.44MB;
Zwolle;JSON;Zwolle (Gemeente);None;Dutch;https://smart-zwolle.opendata.arcgis.com/datasets/zwolle::bomen/explore;LOCAL: https://smart-zwolle.opendata.arcgis.com/datasets/zwolle::bomen/explore;;95.65MB;
;;;;;;;;;
Errors;;;;;;;;;
Dronten;CSV;Dronten (Gemeente);data@dronten.nl;Dutch;http://data.overheid.nl/dataset/bomenkaart-dronten;https://nedgeoservices.nedgraphicscs.nl/geoserver/ows?service=WFS&version=1.1.0&request=GetFeature&typeName=topp:O10002_Bomenkaart_OD&outputFormat=csv;WGS84;ERROR;
Ridderkerk;SHP;BAR-organisatie (Regionale samenwerking);open-data@bar-organisatie.nl;Dutch;https://maps.bar-organisatie.nl/Online/Open%20Data%20Portaal/Ridderkerk/Bomen/Bomen_Ridderkerk.zip;https://maps.bar-organisatie.nl/Online/Open%20Data%20Portaal/Ridderkerk/Bomen/Bomen_Ridderkerk.zip;;ERROR;
Albrandswaard;SHP;BAR-organisatie (Regionale samenwerking);open-data@bar-organisatie.nl;Dutch;https://barorganisatie.maps.arcgis.com/apps/webappviewer/index.html?id=14f9341111e64cf2a5c9185bba2070c2;;;WMS;
Barendrecht;SHP;BAR-organisatie (Regionale samenwerking);open-data@bar-organisatie.nl;Dutch;https://barorganisatie.maps.arcgis.com/apps/webappviewer/index.html?id=a57712914780437b864ed2e765114b09;;;WMS;
Súdwest-Fryslân;JSON;"	Sudwest-Fryslan (Gemeente)";info@sudwestfryslan.nl;Dutch;https://data.overheid.nl/dataset/bomen-s-dwest-frysl-n#panel-resources;https://geo.sudwestfryslan.nl/public/downloads/580717576d114e3496606ae71d0418618ae313eca1ffb6d9/gbi_boom_2026-0-19.zip;;ERROR;
Lingewaard;;;;;https://data.overheid.nl/dataset/waardevolle-bomen-gemeente-lingewaard;https://geodatastore.pdok.nl/id/dataset/3251be7c-b01f-4503-8858-0958c004e6de;;ERROR;
Ede;;;;;https://data.overheid.nl/dataset/6689-overzicht-waardevolle-en-monumentale-bomen#panel-resources;https://openbomenkaart.org/obk.htm?data=ede;;ERROR:WMS;
Zwartewaterland;SHP;Gemeente Zwartewaterland (Gemeente);geo@zwartewaterland.nl;Dutch;https://data.overheid.nl/dataset/bomen-zwartewaterland#panel-description;https://opendata.arcgis.com/datasets/70e9a2ad03cf49a5a45b2076091b7ef3_0.zip;;"ERROR; token required";
Zoetermeer;ERROR;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=08218c748d4246c1ae014ceced3421da;;;;
Gooise Meren;ERROR;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=774fc03912ba4a26b12bf01666cc039c;;;;
;;;;;;;;;
WMS maps;;;;;;;;;
Voorschoten;WFS;;;;https://openbomenkaart.org/obk.htm?data=voorschoten;;;;
Rotterdam;WMS;;;;https://nationaalgeoregister.nl/geonetwork/srv/metadata/33770ad5-cdc0-4118-9a28-e5bb0737209d;;;;
Aalten;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=1c055e5c816a454b9226f58a734f616e;;;;
Doetinchem;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=b44d5f68de8641439247d67dd97605ae;;;;
Oost Gelre;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=f9f67b1e4a4943c68b5125084042eba3;;;;
Oude Ijsselstreek;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=9e90cbdb9c344ff7a2ad49c52a147fce;;;;
Bloemendaal;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=9037572f5fa94457bae388d8a5fbb93a;;;;
Heemstede;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=d1b973e3873245c9bf9c233e72df4789;;;;
Neder-Betuwe;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=fed430113d5549208f059259c33b7f4e;;;;
Nederweert;;;;;https://allesoverbeheer.maps.arcgis.com/apps/View/index.html?appid=0acf3529cbab4aabb35f553117187f1f;;;;
Heeze-Leende;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=6ca62f39825a495dac0e4cbfa45777a0;;;;
Geldrop;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=51c781f827ea426790f083d2583a653e;;;;
Obsurv;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=9bcaf63f7e994faa9de148147fb36a98;;;;
Bronckhorst;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=31527cd6b03747f7b45bda05c60d8aee;;;;
Noordeast-Fryslan;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=575bad844d554c34b93b76127a404d71;;;;
Katwijk;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=4ea7a425f6724219a80c896221ef7b14;;;;
Capelle aan den Ijssel;;;;;https://www.arcgis.com/home/webscene/viewer.html?layers=87acb677f0964edf930ac13ac02d010f;;;;
Wijdemeren;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=e0aa6fa981514c83b386d76bd7666324;;;;
Lochem;;;;;;;;;
Beesel;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=22becf53bf6c480f995fda5fb90fa958;;;;
Hengelo;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=be797e72b60545a4b0619f883a4c7b54;;;;
Gennep;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=3cefd3ac39f94fd4b527ea3dc5c6e1af;;;;
Deventer;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=f7dd67fd107645b4a253341139c03d6d;;;;
Dordrecht;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=1e0dab584ff64466a085ed58403c64ce;;;;
Drimmelen;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=e8508c64f97040e29785ab4dafd1005b;;;;
Krimpenwaard;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=c1b48f887765470f8ea5caa27588ec6b;;;;
Enschede;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=5f03a6c6de1b4494b7196756dabd3be2;;;;
Alphen aan den Rijn;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=93b6e039165043cea16b69eea62a614f;;;;
Zwijndrecht;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=044ec8a492704b69a7137a01588534a6;;;;
Raamsdonksveer;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=4568075afb554b70b1ed7136a82171ef;;;;
Zeist;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=212766d4e0734a0c8f5b0eb01c569295;;;;
Oostrozebeke;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=d5614ac75fb7461986ba7a8fedd1759b;;;;
Texel;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=644a193eaa454be3be8029ab2610efc9;;;;
Kortemark;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=b5c247e962b04239a862984a3e891cb4;;;;
Leusden;;;;;https://experience.arcgis.com/experience/620eee0b4b4949678ec07df65d1e99cd/page/Pagina-1;;;;
Goese Polder;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=bcd8ddc115264f1e8fb3f7ceb861005c;;;;
Woerden;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=238cedbc20254329857b9ec552d7a2ba;;;;
Staphorst;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=5bcf67b5a0654911a50dfa087e42025f;;;;
Lekdijk;;;;;https://www.arcgis.com/home/webscene/viewer.html?layers=7ed6a47a541b49aab3f780da97df0c7d;;;;
Ommen;;;;;https://www.arcgis.com/home/webmap/viewer.html?webmap=2a30e1c339f647d0a6558da31545bc77;;;;
Echt-susteren;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=bb46bde357b149e2bfd748ec550f0390;;;;
Zuidwijk;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=a8b3d026faab41eebdb6d76fc5ffb5ec;;;;
Waadhoeke;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=c9da78af4c204b8ca68c989d864bd744;;;;
Berkelland;;;;;https://berkelland.maps.arcgis.com/apps/instant/basic/index.html?appid=e634d6b044d842328e18285b7e33a71c;;;;
Elburg;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=ad952c736db44be0818948ad4a125df4;;;;
Veerle;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=f515d46e90184585a0fcbe10cc4cfdf2;;;;
Harelbeke;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=2c51531ce09f4d87a1a09d6cbaf3140c;;;;
Vosselaar;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=dd2fa5c2f4f74a3bae799377999f87ca;;;;
Noordoostpolder;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=83fc189a21f6433f85bea5ed273cad19;;;;
Boekel;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=2ffeb0c57adc4c1d8dab7ba82c1b620c;;;;
Maassluis;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=18ee07d627494fbf9e51deaeea825f1d;;;;
Oosterhout;;;;;https://www.arcgis.com/apps/mapviewer/index.html?webmap=d0445aabea904a04b78363c0144f9a3b;;;;
Oud-Beijerland;;;;;https://www.arcgis.com/sharing/oauth2/authorize?client_id=mapviewer&response_type=code&state=%7B%22portalUrl%22%3A%22https%3A%2F%2Fwww.arcgis.com%22%2C%22uid%22%3A%2294aqBu8nayXEJCb7FmBHLsHlg31HmABf6aRB9GFi0zA%22%7D&expiration=20160&locale=en-GB&redirect_uri=https%3A%2F%2Fwww.arcgis.com%2Fapps%2Fmapviewer%2Findex.html%3Flayers%3Df0658ccf058e4d9f93084f9017718676&redirectToUserOrgUrl=true&code_challenge=hIDEG73iRs_dBbQneGDZzx7Qy0MF9Z-Ec2cPrs5Na_w&code_challenge_method=S256;;;;
Oosterwold;;;;;https://www.arcgis.com/home/webscene/viewer.html?layers=d2a61a9af921469b91506e5c92cec2ab;;;;
Drachten;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=f3c4b370f4094d3296af17e9536e657b;;;;
Raalte;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=a3a4a176ae0c40eba5cac08a62b7eb6d;;;;
Oud-Rijswijk;;;;;https://www.arcgis.com/home/webscene/viewer.html?layers=d312bfb27d8d438fa5afd7ef59fd28f8;;;;
Sittard-Geleen;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=6cb30af4b9fd4f058031cb859897b76c;;;;
Borsele;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=bf5cac8f8d77468f80957e2a7d0df35d;;;;
Almelo;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=aac261cf1a48457fbcc22c5318016334;;;;
Stadshagen;;;;;https://www.arcgis.com/home/webscene/viewer.html?webscene=3ebd949320794f79aa2ae1c72e121802;;;;
Kerkdijk;;;;;https://vanhelden.maps.arcgis.com/sharing/oauth2/authorize?canHandleCrossOrgSignin=true&client_id=arcgisonline&response_type=code&state=%7B%22portalUrl%22%3A%22https%3A%2F%2Fvanhelden.maps.arcgis.com%22%2C%22uid%22%3A%22iKaK6Lb4t_dFm9gLmaEo21cwhALDt9yWT_8SzX0rPsA%22%7D&expiration=20160&redirect_uri=https%3A%2F%2Fvanhelden.maps.arcgis.com%2Fapps%2Fwebappviewer%2Findex.html%3Fid%3D6bbcb0901cee4596b7beeaa006a2cf62&redirectToUserOrgUrl=true&code_challenge=rCdZjWPMoLZXLYgTxu0DyIBViTR672b2IQ0JDhBtuMY&code_challenge_method=S256;;;;
Best;;;;;https://www.arcgis.com/apps/mapviewer/index.html?layers=df5ca35ade4a4333b0cd90c7dde89de0;;;;
